time,utc_time,device_id,label,lat,lon,alt,speed,hdop,sats,course,fix,accel_x,accel_y,accel_z,roll,pitch,magnitude,previous_mag,jerk
652,110112.000,A,0,58.38519,8.677943,185.7,0.0,1.16,8,21.24,1,-0.09289551,1.0,-0.1560059,149.2278,-79.46554,1.01635,1.01635,0.004200101
655,110128.000,A,0,58.38519,8.677943,185.7,0.0,0.91,9,21.24,1,-0.1557617,1.004395,-0.262085,149.2762,-73.11467,1.049647,1.049647,0.01109894
658,110128.000,A,0,58.38519,8.677943,185.7,0.0,0.91,9,21.24,1,-0.04870605,1.024902,-0.05700684,139.4897,-85.81577,1.027641,1.027641,-0.007335147
661,110129.000,A,0,58.38519,8.677943,185.7,1.79,1.16,8,21.24,1,0.1569824,0.940918,-0.1268311,-128.9358,-77.89415,0.9623181,0.9623181,-0.02177443
664,110130.000,A,0,58.38519,8.677943,185.7,0.0,1.23,7,21.24,1,0.006103516,1.215698,0.07775879,-36.7448,-87.3075,1.218198,1.218198,0.08529324
667,110130.000,A,0,58.38519,8.677943,185.7,0.0,1.23,7,21.24,1,-0.02868652,0.9174805,-0.2607422,-176.3009,-75.47784,0.9542431,0.9542431,-0.08798492
670,110146.000,A,0,58.38525,8.677908,176.4,1.62,1.16,8,21.24,1,-0.07861328,1.022705,-0.1495361,152.2684,-80.61999,1.036565,1.036565,0.02744059
673,110146.000,A,0,58.38525,8.677908,176.4,0.0,1.16,8,21.24,1,-0.09887695,1.001221,-0.168335,149.5708,-78.96644,1.020077,1.020077,-0.005496105
676,110147.000,A,0,58.38526,8.677916,176.3,0.0,1.23,7,21.24,1,-0.1538086,1.127441,-0.2321777,146.4771,-76.12447,1.16133,1.16133,0.04708453
679,110148.000,A,0,58.38526,8.677916,176.3,0.0,1.23,7,314.98,1,-0.0703125,0.9912109,-0.196167,160.2807,-78.1273,1.012879,1.012879,-0.04948361
682,110148.000,A,0,58.38526,8.677916,176.3,0.0,1.23,7,314.98,1,-0.09106445,0.9957275,-0.1922607,154.6554,-77.9401,1.0182,1.0182,0.001773437
685,110148.000,A,0,58.38526,8.677916,176.3,0.0,1.23,7,314.98,1,-0.09082031,0.9992676,-0.1767578,152.8053,-78.75229,1.018836,1.018836,0.0002122323
688,110150.000,A,0,58.38526,8.677916,176.3,0.0,1.23,7,314.98,1,-0.08850098,1.007935,-0.1798096,153.7939,-78.75444,1.027665,1.027665,0.002942999
691,110150.000,A,0,58.38526,8.677916,176.3,0.0,1.23,7,314.98,1,-0.08081055,1.002808,-0.1763916,155.386,-79.04981,1.021405,1.021405,-0.002086878
694,110206.000,A,0,58.38526,8.677916,176.3,0.0,1.16,8,314.98,1,-0.08666992,0.9958496,-0.1762695,153.8171,-78.84202,1.015036,1.015036,-0.00212272
697,110206.000,A,0,58.38526,8.677916,176.3,0.0,1.16,8,314.98,1,-0.08947754,1.004761,-0.1776123,153.2619,-78.80385,1.024254,1.024254,0.00307254
700,110207.000,A,0,58.38526,8.677916,176.3,0.0,0.9700001,9,314.98,1,-0.2619629,0.9847412,-0.3867188,144.9425,-64.37068,1.089904,1.089904,0.02188337
703,110208.000,A,0,58.38526,8.677916,176.3,0.0,1.04,9,314.98,1,0.06555176,0.9543457,-0.1815186,-160.1438,-78.56755,0.9736641,0.9736641,-0.03874671
706,110209.000,A,0,58.38526,8.677916,176.3,0.0,1.16,8,314.98,1,-0.05541992,0.7581787,-0.3436279,170.8383,-65.34087,0.834258,0.834258,-0.04646868
